title,author,genre,summary,excerpt,rating,book_id,sentiment,pos_score,neg_score,neu_score,rating_bucket,gold_label
"The Battle of Ap Bac, Vietnam: They Did Everything but Learn from It (Contributions in Military Studies)",['Edward L. Bimberg'],['History'],Details how the little-known battles of the Free French in remote areas of Africa contributed to the Allied victory in World War II.,"Toczek, who is now a Lt. Col., wrote this fine book as a project back in 2001 when, I assume, he was at command school at Ft. Levenworth. Ap Bac was never delved too deeply in to until Sheehan's treatment in "" A Bright Shinning Lie."" Toczek takes it to a better level and leaves the reader with a much clearer picture of what went wrong with a sound battle plan. The battle failed on important levels. South Vietnamese resentment of American advice and support, fear of sucess and failure as a part of the Diem regime, lack of treatment for wounds inflicted during fighting, all contibuted to the culture that created a weak ARVN. Of course they cowered behind the dikes all day long.....wouldn't you if your own govt. refused you treatment for wounds incured? Officers above the NCO level were afaid to fail, of course, but were even more reluctant to succeed, as they could be perceived as a threat to Diem and removed from their post.On the tactical level, Toczek explains the fight clearly from conception to finish. He is, as a writer, a bit dry like David Glantz...but that is a complement. Toczek's most astute observation, however, is of the South Vietnamese psyche which subtly effected the troops throught the war and ultimately led to their downfall.",5.0,127235,NEU,0.10709964483976364,0.09217836707830429,0.8007219433784485,positive,POS
Time of Thin Blood (Vampire: The Masquerade),"['Dean Shomshak', 'Sarah Roark']",['Games'],"What are we? The Damned childer of caine? The grotesque lords of humanity? The pitiful wretches of eternal hell? We are vampires, and that is enough. I am a vampire, and that is far more than enough. I am that which must be feared, worshipped and adored. The world is mine -- now and forever. No one holds command over me. No man. No god. No prince. What is a claim of age for ones who are immortal? What is a claim of power for ones who defy death? Call your damnable hunt. We shall see whom I drag screaming to hell with me. Allows you to portray the hunted childer of high-generation vampires.","Ok, I love the beginning and for those who've read the &quot;ghoul book&quot; you'll recall the fine Malkavian doctor and his ghoul assistant as they now share their research into the &quot;thin blooded&quot; vampires and these strange new creatures some of them can parent. I also loved the insights from the thin-blooded themselves. However, I still had some questions such as when these 15th generation vampires first appeared and any connections to other ancients arising. Also I felt that the &quot;story-like&quot; sections were merely repeated in later sections and that the insights on character creation is not as strong as in other books. Also why would 13th or 14th gen kindred even be trying to make others? And why are 15th gen so interested in sex when supposedly other gens aren't? How much of this is propaganda? I know, I'm a stroyteller, I can make this stuff up, but I had hoped for better guidelines.",3.0,53780,POS,0.9610292315483093,0.0021257377229630947,0.036845020949840546,neutral,NEU
"Too Close, Too Soon (Cassette)",['Ken Forsse'],['Flying-machines'],"In this adventure, children learn the importance of safety and taking care of themselves.","This is a useful counter-cultural apporach to intimacy where sexuality confuses the whole bonding process. Popular culture suggests that great sex is all that is required to have a successful loving permanent relationship. Hopefully, thoughtful people and professionals are beginning to fathom that we have been lying to ourselves. This book is a nuts and bolts approach to what construes a healthy relationship and approach to building. Essentially, too much time alone too soon will lead to tears.Recommended as a hands on approach to those wrestling with the pain of premarital sex.",4.0,169873,NEU,0.37529265880584717,0.03977105766534805,0.5849363207817078,positive,POS
DAMRON MEN'S GUIDE 2000- P (Travel Guide),['Gina M. Gatta'],['Travel'],"The Damron Men's Travel Guide 2004 proves that some things really do improve with age. With the release of this historic 39th edition, the perennial best-selling gay travel guide has bulked up to over 700 pages and sports a sexy new cover design that says the Damron Men's Travel Guide is proudly gay and here to stay. Inside, Damron continues to list the latest information on over 12,000 gay and gay-friendly accommodations, bars, nightclubs, restaurants, retail shops, bookstores, gyms, info lines, social groups, publications, men's clubs, and cruisy areas across North America, the Caribbean, Central America, and Europe.","Damron's Men's Travel Guide continues to be the most complete US. Gay travel guide out there. Unfortunately, the nature of the information and the trend for gay establishments to come and go quickly means that much of the book is out of date by the time it hits the stands. A great improvement would be an online companion guide which might only be available to purchasers of the book. In lieu of that, this is the guide to carry.",3.0,130588,NEU,0.11965219676494598,0.19464434683322906,0.685703456401825,neutral,NEU
"Natural Selection (BattleTech, No. 5)",['Michael A. Stackpole'],['Fiction'],"When sporadic Clan incursions into Inner Sphere territory supply mercenaries with more work than they can handle, Khan Phelan Ward and Prince Victor Davion--cousins, rulers, and enemies--must decide what to do. Original.",Anyone who wants to know the origins of the clan war or add flavor to their Battletech game HAS to read this book.,5.0,144254,NEU,0.4412665367126465,0.003433836391195655,0.5552995800971985,positive,POS
To See Your Face Again,['Eugenia Price'],['Fiction'],"The second installment in the Savannah Quartet saga traces the romance between Burke Latimer, a Southern tycoon who loses his fortune, and Natalie Browning, who follows the ruined Latimer to Savannah in hopes of marriage. Reprint.","Excellent book in the series by Ms.Price, now deceased. She, as always, did a lot of historicalresearch, with help from others at libraries, etc, and completed this work &#34;with gusto.&#34; I likesuch material that is not &#34;completely made up,&#34; but contains real events and historical mapsand such.",5.0,137455,POS,0.9792668223381042,0.001438516192138195,0.01929464004933834,positive,POS
the man who never was,['Ewen Montagu'],['History'],"In the early hours of 30 April 1943, a corpse wearing the uniform of an officer in the Royal Marines was slipped into the waters off the south-west coast of Spain. With it was a briefcase, in which were papers detailing an imminent Allied invasion of Greece. As the British had anticipated, the supposedly neutral government of Fascist Spain turned the papers over to the Nazi High Command, who swallowed the story whole. It was perhaps the most decisive bluff of all time, for the Allies had no such plan: the purpose of ‘Operation Mincemeat’ was to blind the German High Command to their true objective – an attack on Southern Europe through Sicily. Though officially shrouded in secrecy, the operation soon became legendary (in part owing to Churchill’s habit of telling the story at dinner). Ewen Montagu was the operation’s mastermind, and in his celebrated post-war memoir, The Man who Never Was, he reveals the incredible true story behind ‘Operation Mincemeat’.","This is a fantastic tale whereby the body of a young man was used to deceive the German high command during WW2 into believing a forthcoming Allied offensive would be centred in one European country and not the real target. Given the somewhat inappropriate codename of `Operation Mincemeat, the body of a young man was dressed in the uniform of a major in the Royal Marines and furnished with a complete set of false papers. The minute detail which went into those papers included two used cinema ticket stubs plus a photograph and letters from a fictional girlfriend. Handcuffed to his wrist was a briefcase inside which were copies of a supposed invasion plan. His body was then set adrift so that it would be washed up on the coast of Spain in the certain knowledge that all those papers would be handed over to the German authorities in that country.Perhaps one might be forgiven for thinking that obtaining a suitable dead body during WW2 would have been relatively easy but not so. The human body could not be kept in storage for too long before assuming a certain state of unnatural decomposition which would have alerted German doctors that all was not as it seemed. It was also imperative that the body was washed ashore in the right place. After all, it could hardly be parachuted into Berlin!!!Eventually, a man of the right size, condition and age to suit the false persona of Major Martin Royal Marines was found dead in the streets of London and his body used to completely deceive the Germans. The full account of this amazing tale is retold by the person who was placed in charge of the deception. When first published, this book became a best seller.It was intended for the identity of the deceased to have remained a secret forever. It was not until 1996 (or thereabouts) that the true identity of the person was revealed by an amateur historian who discovered him to have been a down-and-out who survived by begging on the streets of London. Unfortunately, he also suffered from some form of mental illness and was found dead shortly after having been turned down for military service. The cause of death was recorded as having died from ingesting rat poison. In Spain, however, that same man got a very different death certificate before being buried in a local graveyard.Av truly remarkable, almost fanciful, tale from WW2.NM",4.0,5987,NEU,0.29997459053993225,0.05343322455883026,0.6465921401977539,positive,POS
The Unhinged World of Glen Baxter: Collected Works (Collected Works (Pomegranate)),['Glen Baxter'],['Humor'],"Baxter's drawings and text are reminiscent of the 1930's adventure story illustrations and the ""See Jane run"" books, which is why you may feel like coloring them in when you look at them. But his irreverent and wildly funny work, with all its odd takes on life, will surprise you in how keenly it reflects the ""real"" world. And therein is the brilliance of Glen Baxter: his unhinged world turns out to be the one we all live in. Here is a welcome anthology of three of Baxter's out-of-print books: Atlas, The Impending Gleam, and Jodhpurs in the Quantocks.","After the surrealists and dadaists of the twentieth century, along with their more prosaic postmodern followers reduced art to the level of nonsense, it was inevitable that the Colonel would come along and raise nonsense to the level of art. As Einstien pointed out ""if Baxter didn't exist it would be necessary to invent him.""",5.0,17745,NEG,0.015581612475216389,0.5738746523857117,0.4105437994003296,positive,POS
Contemporary Machine Embroidered Quilts: Innovative Techniques and Designs,['Eileen Roche'],['Crafts & Hobbies'],"Now quilters can successfully combine the two great arts of embroidery and quilting, with amazing results! Author Eileen Roche, a leading expert on machine embroidery, offers an array of gorgeous embroidered quilting projects in an easy to follow format in Contemporary Machine Embroidered Quilts. First, readers are led through the basics of the craft, with instruction on selecting designs, threads, fabrics, needles and stabilizers, as well as tips on hooping and stitching techniques. Then, Roche expertly teachers quilters how to transform this knowledge into captivating designs using embroidery, decorative stitches, applique, fabric manipulation and finishing techniques. &break;&break;With this book's step-by-step instructions and color photos and illustrations, readers will successfully create twelve stunning quilt projects with embroidery. Patterns for quilts and embroidery designs are stored on an included CD-ROM, with more reduced on pages within the book.",This is a xmas gift. The book arrive when I was told it would arrive. It was package very well and book was in excellent condition.,4.0,197219,POS,0.9925650358200073,0.002420538105070591,0.005014457739889622,positive,POS
Best Little Stories from the White House,['C. Brian Kelly'],['History'],"Behind the White House's impressive facade lies the long history of the men who have lived and governed within it's walls. From births to deaths, weddings to funerals, the White House has seen it all. In Best Little Stories from the White House, author C. Brian Kelly takes us on a tour of the White House's fascinating history, giving us a glimpse of the most memorable presidential moments: Theodore Roosevelt 's children once snuck their pony upstairs in the White House elevator to cheer up their sick brother. Winston Churchill once suffered a minor heart episode while struggling with a stuck window in the White House. John Quincy Adams was known to skinny-dip in the Potomac. Woodrow Wilson liked to chase up and down the White House corridors playing ""rooster fighting"" with his daughter Nellie.","The stories told within this book are often quite interesting in a most often trivial way. From the story of Dan Sickles murdering his wife's lover on LaFayette Square and then getting away with murder using an insanity defense to many stories involving that firebrand Alice Roosevelt Longworth, this book centers on the odd and often scandalous side of being connected to theWhite House. This I found sort of fun and most definitely lively. Stil, I had a problem with book.I have read a lot of books about American history and it irritates me when I read misstatements that are blatantly false or incorrect. I picked up on several things in this book that weren't factually correct true. It made me wonder what is true in this book. I know some things are true because I've heard these stories before, but I can't say it is all true. That is why this is a 3* or 4* book tops.",4.0,195669,NEU,0.12209250777959824,0.08187009394168854,0.796037495136261,positive,NEU
Beach Blanket Atheism: The Beginner's Guide for the Non-Believer,['Edward P. Tolley'],['Religion'],"Atheism hasn't exactly been the topic of a lot of laughs. That is, until now. 'Beach Blanket Atheism' uses laugh-out-loud humour, razor-sharp logic and compelling arguments about this most misunderstood of doctrines. Consisting mainly of quotations and quips from a host of famous scholars, philosophers, celebrities and politicians, this witty work delves deep into scepticism, agnosticism, rationalism, and other topics relating to atheism. A unique, informative and entertaining book for those with an open mind, a love of science or a passion for rational thought.","As a professional editor, I must agree with preceding comments--if this book was edited, I hope the publisher fires the editor. There are too many spelling and punctuation errors to count, errors with font changes (things set italic that should be roman and vice versa) and just a lot of sloppiness that should be really embarrassing to the author and publisher. I was embarrassed for them! This stuff detracts so much from the actual text of the book that it makes it virtually unusable. I hope that if it ever comes out in a second edition, they spring for a professional edit to eliminate all these problems. What should be a fun, useful book ends up being a pile of crap because of the poor (or lack of) editing.",2.0,139824,NEG,0.0025166014675050974,0.9668948650360107,0.030588500201702118,negative,NEG
Winter Kill,['C. J. Box'],['Fiction'],"The arrow-riddled corpse of Lamar Gardiner, district supervisor for the Twelve Sleep National Forest, and the bodies of seven illegally shot elk start Wyoming game warden Joe Pickett on a pursuit that endangers the life of his beloved foster daughter April. Reprint.","A complicated, emotional story about the relationship between a young rancher, his brothers and their bitter, twisted father, his best friend who may be involved with criminal activities and the revelation of a secret about his parentage. An action packed and mature story, highly recommended Western tale.",5.0,176272,NEU,0.44813981652259827,0.012070844881236553,0.5397893786430359,positive,POS
"Demolished Man, The",['Alfred Bester'],['Fiction'],"﻿#4 in the Millennium SF Masterworks series, a library of the finest science fiction ever written. The first Hugo Award winner for best novel in 1953. “One of the all-time classics of science fiction.”—Isaac Asimov “Bester's two superb books have stood the test of time. For nearly sixty years they’ve held their place on everybody’s list of the ten greatest sf novels” —Robert Silverberg In a world policed by telepaths, Ben Reich plans to commit a crime that hasn’t been heard of in 70 years: murder. That’s the only option left for Reich, whose company is losing a 10-year death struggle with rival D’Courtney Enterprises. Terrorized in his dreams by The Man With No Face and driven to the edge after D’Courtney refuses a merger offer, Reich murders his rival and bribes a high-ranking telepath to help him cover his tracks. But while police prefect Lincoln Powell knows Reich is guilty, his telepath's knowledge is a far cry from admissible evidence. Alfred Bester was among the first important authors of contemporary science fiction. His passionate novels of worldly adventure, high intellect, and tremendous verve, The Stars My Destination and the Hugo Award winning The Demolished Man, established Bester as a s.f. grandmaster, a reputation that was ratified by the Science Fiction Writers of America shortly before his death. Bester also was an acclaimed journalist for Holiday magazine, a reviewer for the Magazine of Fantasy and Science Fiction and even a writer for Superman.","Although this is considered a classic of its time (1953), it is very dated. Some of the reference to peepers and jumpers become corny after a while.",1.0,190637,NEU,0.027362434193491936,0.2478419989347458,0.7247955799102783,negative,NEU
Her Smoke Rose Up Forever,['James Tiptree (Jr.)'],['Fiction'],"Presents stories that deal with such topics as feminism, death, technology, sexuality, and humanity","the short storys that she ( yes SHE , tiptree was not a man but a woman whose real name was alice sheldon) wrote are some of the most thought provoking ,incredible fiction ever written by anyone. most of these tales included in this book are from the original collection released in 1973 under the title of 10,000 LIGHT YEARS FROM HOME. if you are lucky enough to find it do get it. i did find it through amazon, but if you cant HER SMOKE ROSE UP FOREVER is the next best choice",5.0,198185,POS,0.961910605430603,0.0010970585281029344,0.03699232265353203,positive,POS
Killing Kelly (MIRA),['Heather Graham'],['Fiction'],"One for the keeper shelf! Rediscover the heart-stopping thrills of this classic romantic suspense, only from New York Times bestselling author Heather Graham. It was the most dangerous role of her career…and possibly the last. Playing a malicious diva on a popular daytime soap, actress Kelly Trent has garnered more than her fair share of hate mail. She doesn’t believe anyone would really confuse her with her character, but when an accident on the set hits too close for the producers’ comfort, Kelly is unceremoniously put on hiatus. At her agent’s suggestion, she agrees to appear in a music video, thinking the time away filming in the Florida Keys might be just the thing to put her life in perspective. But with two left feet, Kelly only hopes dance instructor Doug O’Casey can work miracles. A former Miami cop, Doug still has a lawman’s instinct for trouble, and the continued threats made against Kelly tell him that she is in danger. Now, as a deranged fan closes in, Doug realizes that someone close to Kelly wants more than her character killed off the show—someone wants her stone-cold dead. Originally published in 2005","Although not one of the author's best, this book still has a decent plot and a lot of suspense. It's definitely worth reading if you are a fan of the author. The one major problem with the story is that there are too many suspects and when you find out who the real ""killer"" is, it's disappointing.",3.0,135625,NEG,0.1035035103559494,0.46761998534202576,0.42887651920318604,neutral,NEU
Appleton & Lange's Review of Cardiovascular Interventional Technology Examination,['Appleton Historical Society'],['History'],"Appleton's rich beginnings found their source at Lawrence Institute, the university in the woods, on the Fox River. Rev. Henry Colman and Rev. William Sampson chose the bluff on the river for the site of the institute. Amos A. Lawrence donated $10,000, and the building began in July 1848. It was with axe and hook that the first settlers cleared the land for Lawrence and Appleton. The city was made up of three villages: Martin (Grand Chute), Appleton, and Lawesburg. In 1857, the villages joined together to form the city of Appleton. Amos Story was the city's first mayor. Appleton's industry grew on the banks of the Fox River, including hydroelectricity and paper.","I plan on sitting for my boards in a couple months. I had borrowed this book from a co-worker. It is unfortunate that there is no Review from Appleton and Lange for Vascular Interventional Radiology, however, even though this book is much older, it is still a good reference to study from. Such as the First Chapter on Pharmacology and ECG's. The diagrams and anatomy images is this book are also good to study from. There are a few mistakes in the answers to some of the questions, maybe just a typo? But I just go back and double check what was in the chapter. And this book I think is better than the other book that is out there. Would like to have an updated one for Vascular Interventional from Appleton and Lange. All in all, its a good book.",4.0,143134,NEU,0.4138035774230957,0.01855730451643467,0.5676391124725342,positive,POS
