title,author,genre,summary,excerpt
Mother Night,['Richard Zimdars'],['Fiction'],"Ryan and Dawnna. From their days as children in school, the sport of basketball helped them to create a friendship that made them nearly inseparable. Now that friendship is about to be tested by the strange and incredible twist of fate that changed their lives forever. Brought to Earthea against their will, the pair has quickly bonded with their new family, LaKeisha James and her daughters, Ebony and Ivory, members of the Denavah Di-Di’s, a babies’ professional basketball team. The five, along with their friends and teammates, are called upon to embark on two incredible missions... One mission, given by LaKeisha’s brother-in-law Jeddadiah, is to play host to a band of foreign dignitaries and discover the truth to their sudden interest in Amerikan culture. They must complete this task while attempting to be successful in their never-ending mission: defeating their rivals and becoming league champions of the Baby Ballers Basketball Association!","The beginning of this book sets a standard that is hard to keep throughout, but Kurt does it. The varying views of Auschwitz and the war, and the personal view of this one person makes people look at World War II in a very different way. Even the prologue astounded us with painful fact. It shows that even the most atrocious men, still suffer a tragedy. With extremely powerful quotes throughout, this is definitely a good read."
Crime and Punishment,"['Fyodor Dostoyevsky', 'Constance Garnett']",['Fiction'],"In a timeless story of justice, morality, and redemption, an impoverished Russian student murders a miserly landlady, a crime that has severe repercussions on his life and his family as he battles his conscience.","When I first picked up this book, I assumed the title defined the story in the ""classic"" sense - a criminal committed some henious act and was sent to prison, where the bulk of the tale would be told. I expected a look at a Russian prison in the 19th century, but I was surprised by the content.Dostoevesky, who was sent into exile in Siberia, wrote a pyschological thriller - long before the genre of 'thriller' was ever invented. Rather than focusing on the criminal's time in prison, he focused on the criminal's mindset and the intellectual torture that he put himself through. Rodion Raskolnikov, a young man, was a murderer; he killed two women; one intentionally, the other only a victim of circumstance. Raskolnikov then struggles with the crime he has committed and tries to explain to himself why he should (or should not) confess to the crime. During his neurotic episodes, we meet unforgettable characters such as Porfiry Petrovich of the police department, who (in my opinion) probably was the basis for the modern day Detective Columbo of television fame. Porfiry has a way of asking questions that force Raskolnikov to think about his crime and nearly leads him to break down. Even though Raskolnikov never confesses to Porfiry, the two men develop quite an intriguing relationship, one that fascinates the reader for many pages.I think I could go on & on about with praise and quips from this book, but if I did my review would be a hundred pages long and might dissuade people from reading it. Don't read this just because it has been tagged with the label ""classic"" by every modern publisher. Read it becuase it is a thrilling, page turning, escape into 19th century Russia and the psychological thoughts of a killer who believes he has killed because he is ""above the law"". Great book - wish I'd read it many years ago!"
The Notebook,['Jean Andrews'],['Computers'],"This step-by-step, highly visual text provides you with a comprehensive introduction to managing and maintaining computer hardware. Written by best-selling author and educator Jean Andrews, A+ GUIDE TO HARDWARE, Sixth Edition closely integrates the CompTIA A+ Exam objectives to prepare you for the hardware portions of the 220-801 and 220-802 certification exams. The new Sixth Edition also features extensive updates to reflect current technology, techniques, and industry standards in the dynamic, fast-paced field of PC repair. Each chapter covers both core concepts and advanced topics, organizing material to facilitate practical application and encourage you to learn by doing. Supported by a wide range of supplemental resources to enhance learning—including innovative tools, interactive exercises and activities, and online study guides—this proven text offers an ideal way to prepare you for success as a professional PC repair technician. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",We think this will make a great Valentine's gift for all our &quot;sweethearts&quot;. We heard a radio interview with Nicholas Sparks this last week with news that the screen writer of a Preacher's Wife has the task of bringing this love story to the movies. When it is released we hope those who didn't enjoy the book skip the movie so there will be more room in line for us!
The Brother of Jesus: The Dramatic Story & Meaning of the First Archaeological Link to Jesus & His Family,"['Hershel Shanks', 'Ben Witherington, III']",['Religion'],"The most important archaeological discovery ever about Jesus! For 2,000 years we’ve gone without archaeological EVIDENCE of Jesus and his family … until now … This is the dramatic inside story of what may well be the most momentous archaeological discovery of our time: the first-century ossuary of Jesus’ brother, James, the head of the Jerusalem Church. Reportedly found just outside ancient Jerusalem, the fragile limestone burial box bears the inscription ‘James, son of Joseph, brother of Jesus’. The ossuary and its inscription are now regarded as authentic by top scholars in the field; they represent the first visual, tangible, scientific evidence of Jesus’ existence. The implications are monumental for understanding Jesus, his family, and the Jewish Christian movement during the formative years of Christianity. Hidden for centuries, the ossuary was purchased many years ago by an Israeli collector of ancient artifacts who never suspected its importance. Only when the renowned French scholar André Lemaire saw the Aramaic inscription (Aramaic was the language spoken by Jesus and his earliest followers) in April 2002 was its significance discovered. In October 2002, Lemaire announced the news to the world, asserting that it was almost certain that the inscription referred to Jesus of the Bible, his father Joseph and his brother James. Controversy immediately erupted over the age and authenticity of the inscription. The discovery also rekindled an ancient debate over whether Mary, the mother of Jesus, was a virgin throughout her life - a doctrine that still divides Catholics and Protestants. Hershel Shanks, a central figure of biblical archaeology, who led a forceful campaign to make the Dead Sea Scrolls available to the world, recounts the story of the ossuary’s discovery and authentication. Ben Witherington III, a leading New Testament scholar, shows how the discovery reveals surprising facts about a story people thought they knew: how Jesus was raised in a large, religiously conservative Jewish family; how his brothers and sisters were skeptical about his claims - until he died; how Jesus’ brother James went on to head the Jewish Christian movement in Jerusalem, becoming the leader Peter and Paul looked to for guidance and approval; how James brokered the major church controversy of the first century and wrote a book of the Bible; how he was martyred and soon written out of history by the Church of Rome. The dramatic discovery of the ossuary allows us to become reacquainted with the towering historical figure the apostle Paul called a ‘pillar of the church’.","Shanks and Witherington bring a sophisticated and compelling study with ""The Brother of Jesus"" (2003 paperback). Theirs is a careful consideration of the authenticity for the ""James the son of Joseph the brother of Jesus"" ossuary publicly introduced in 2002. (It was discovered a number of years ago, extracted from it's original resting place, and then housed in various Israeli locations over several generations until its 21st century public presentation.)Recounting various scientific/forensic examinations of the small bone box, the authors add their voices to its continuing controversy. Did this ossuary house the bones of St. James, the Just, the brother of Jesus Christ? Can it really ever be completely examined and understood without knowing the information from its original provenance?These are difficult questions to answer, even in the wake of the ossuary's forensic study. After providing a complete and careful recounting of all the ossuary's scientific examinations Shanks and Witherington attempt clear answers with their presentation of James' history by reviewing the various personality and events associated with him. They review the ossuary bullae (sealant), its patina (the calcium carbonate surface) and its Aramaic calligraphy. They revisit the early Christian sources for James, the various personalities named ""James"" in the Scripture, authorship for the Epistle of James, the death and legend of James, the family of James, and much more.Due to the technical nature of this 305-page book it should not be considered a quick read. Each chapter concludes with a plethora of source suggestions. Preferring to consult each source Shanks and Witherington cite, I completed the book in a little less than a month. The authors provide dozens of precision maps, informative charts, interesting photographs (colored and black and whites), and helpful endnotes.In the end, I found pages 1 through 224 to be the most helpful. These first two parts demonstrate that the James ossuary (sandstone box itself) is authentic from the first century (such ossuaries were commonly used around Jerusalem only from about 20 BC to AD 70). Shanks and Witherington are also convinced that the first half of the writing- ""James the son of Joseph"" is probably authentic to the first century.The third section of the book (pages 225 to 305) is less persuasive and would be more convincing with additional research (and scholarly debate). Here the authors believe the second half of the inscription- ""the brother of Jesus""- to be a later addition and, thus, a forgery (page 235). Who can say for sure?""The Brother of Jesus"" is a good read witnessing to a fascinating subject. Shanks and Witherington have been at the forefront of the James ossuary's history from its 2002 introduction. The book is recommended to all who want to know more about the ossuary that may have housed the bones of Jesus' brother. It is also a good read for all Bible students. Order your copy soon."
False Impression,['Jeffrey Archer'],['Fiction'],"Jeffrey Archer, one of the greatest popular novelists of our generation, delivers a truly page-turning thriller in False Impression. When an aristocratic old lady is brutally murdered in her country home the night before 9/11, it takes all the resources of the FBI and Interpol to work out the connection between her and the possible motive for her death - a priceless Van Gogh painting. It's a young woman, who was in the North Tower when the first plane crashed into the building, who has the courage and determination to take on both sides of the law and avenge the old lady's death. Anna Petrescu is missing, presumed dead, after 9/11 and she uses her new status to escape from America, only to be pursued across the world from Toronto to London, to Hong Kong, Tokyo and Bucharest, but it is only when she returns to New York that the mystery unfolds. Why are so many people willing to risk their own lives and others' to own the Van Gogh Self-Portrait with Bandaged Ear?","I've been reading Jeffrey Archer since 1977...and I've never been disappointed with his stories. This one is as solid as it gets. I've been reading a lot of other writters lately who forget about finishing their books, so it was refreshing to read something that tied up all the loose ends."
Memoirs of a Geisha (Signed),['Arthur Golden'],['Fiction'],"A literary sensation and runaway bestseller, this brilliant debut novel tells with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha. Nominated as one of America’s best-loved novels by PBS’s The Great American Read Speaking to us with the wisdom of age and in a voice at once haunting and startlingly immediate, Nitta Sayuri tells the story of her life as a geisha. It begins in a poor fishing village in 1929, when, as a nine-year-old girl with unusual blue-gray eyes, she is taken from her home and sold into slavery to a renowned geisha house. We witness her transformation as she learns the rigorous arts of the geisha: dance and music; wearing kimono, elaborate makeup, and hair; pouring sake to reveal just a touch of inner wrist; competing with a jealous rival for men's solicitude and the money that goes with it. In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction—at once romantic, erotic, suspenseful—and completely unforgettable.","CoverI absolutely adore this cover! The actress who plays Sayuri in the movie is one of my favorites and a stunning beauty. I am mesmerized by the Geisha culture and this cover fits the feel of this gorgeous tale.CharactersSayuri is such a great character. She starts the story being an afraid child and ends it being someone girls can really look up to. I found myself wanting to be her. I even used Sayuri for a username online for a while. I know, ridiculous. Each character brings their own personality to the story and none of them were created without their full potential shining through.StoryThis is still my favorite book, ever. Being obsessed with Japan helps a lot but even without that, it's an amazing tale of love of triumph in Japan pre American takeover. The only thing I don't like about this book is the inclusion of the US. Japan was such an outstanding place back then, and even though it's still a fantastic place, I would have liked it to stay the way it was in this book. This is my favorite period of time in Japan and I would have given anything to live in that time and place. This book is my dream come true. It's deep and memorable, and will be hard to pass in my opinion. Arthur Golden is a magical man.Quote(s)""If you aren't the woman I think you are, then this isn't the world I thought it was.""""He was like a song I'd heard once in fragments but had been singing in my mind ever since.""""I don't know when we'll see each other again or what the world will be like when we do. We may both have seen many horrible things. But I will think of you every time I need to be reminded that there is beauty and goodness in the world."""
"Lord of the Flies, a Novel",['William Golding'],['Fiction'],"Nog altijd even opwindend en tot nadenken stemmend als toen het in 1954 verscheen, schept 'Heer van de vliegen' een gewelddadig, treff end beeld van de menselijke natuur, en wat er met deze gebeurt als de beschaving ten onder gaat. Een groep schooljongens stort neer op een onbewoond eiland. Zonder ouders of ander volwassen toezicht moeten ze met elkaar samenwerken om te overleven, waar ze jammerlijk in falen. Hun strijd om het bestaan krijgt geleidelijk steeds meer barbaarse trekken. Heer van de vliegen werd bij verschijning met lof overladen, maar commercieel succes bleef in eerste instantie uit. Geleidelijk aan werd het echter een cult-favoriet onder studenten en critici, en werd het vaak vergeleken met Salingers De vanger in het graan wat betreft invloed op de moderne literatuur.","Golding is an exquisite writer. He uses symbolism to describe the fact that there is evil in everyone. He also uses symbolism to describe fear and anger. He provokes the mind to think that they are in the story by using descriptions. Although some aspects of this book were unbelievable, it could happen. I personally see only two flaws in the book. The first being that everything needs to be more innnocent in the beginning so that when drastic changes come they are extremely drastic. The second being that the book goes very slowly, almost too slowly. However, overall it was an excellent book. I enjoyed reading Lord of the Flies."
THE CATCHER IN THE RYE,['J.D. Salinger'],['Fiction'],"Anyone who has read J. D. Salinger's New Yorker stories - particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme - With Love and Squalor, will not be surprised by the fact that his first novel is full of children. The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep.","I'm sorry, but I didn't like this book. It is supposed to be some amazing adventure into the everyday life of a teenager, full of shortcomings, pressures, angst and grief. IT WAS NONE OF THAT. I thought that it was a horrible peice of literature. I believe that it showed a whiny young man, who couldn't take responsibility for himself. He stayed mired in this self-pity and couldn't see why nothing went his way. I didn't care for this book at all. I beleive that the only reason that it caught fire was because it was so &quot;bad&quot; when it was published that it was banned. This being banned added a little mystique to it. Everyone read it and it did well. Oh, by the way, so there is no misinterpretation of my comments, I am a 17 year old male in California. Yes, a teenager actually hated the Catcher in the Rye. AMAZING! I welcome any comments at my e-mail address: hoss@neworld.ne"
Waffen-SS Uniforms In Color Photographs: Europa Militaria Series #6,['Steven Amodio'],['History'],"An exciting series that features the soldier, both modern and historical. Each volume captures the men, their uniforms, their equipment and their weapons. Rare Waffen-SS uniforms, insignia, combat equipment, and weapons from several private collections.","I paint WWII miniatures as a hobby and I found this book to be an excellent source of color photo reference of period uniforms from which to base my painting on. The book offers great color photos of a wide variety of different uniforms as well as providing historical detail as to the issue, use, production, etc. I highly recommend this book for anyone with similar hobby needs or just interested in the period in general."
Southampton Row (Charlotte and Thomas Pitt),['Anne Perry'],['Fiction'],"When a clairvoyant is found murdered following a late night sâeance, Thomas and Charlotte Pitt become entangled in a battle over a crucial seat in Parliament when they discover that the wife of one candidate participated in the fatal sâeance.","This is a sequel to the previous novel, ""The Whitechapel Conspiracy,"" which should be read first to fully understand the characters and background. The book possibly gets a little heavy into the position of women in society, etc., but otherwise is a good mystery. Charles Voisey was thwarted in his attempt to seize the government, but now is knighted and seeking a seat in the House of Commons. Thomas Pitt has been sent back to Special Branch, and the Inner Circle still exerts an evil influence on events. Some people have a lust for power and are willing to commit crimes to gain their objectives.A spiritualist is murdered. Her death may be connected to the politics of the coming election. Pitt must send his wife and children off to the country on their own when his vacation is cancelled. Investigations lead to some surprising connections between individuals, and Pitt finds his reputation threatened before the case is finally resolved. Politics breed strange bedfellows, and Pitt's brother-in-law finds himself in an awkward position where he must decide between a friend and his own career in politics.It is better to deal with an enemy you know rather than one you don't know. Crimes sometimes go unpunished, even murder."
Play Dates,['Rob McClurkan'],['Juvenile Fiction'],"Ezra can't wait for his ""little"" friend Finley to come over and play! But Ezra's parents are in for a surprise, because Finley isn't like Ezra's other friends--Finley is an elephant! The two pals have some big, BIG plans, like: riding bikes, dancing in the tree house, and bouncing on the trampoline. But Ezra's parents come up with a list of rules. No piggyback rides. No loud voices. Absolutely no running inside. No problem, though! Ezra and Finley have lots of ideas up their sleeves . . . and everything will be fine as long as they remember the most important rule of all: to always have fun! This fun and funny friendship story is perfect for young readers and their parents who are all too familiar with their playdates.","This chick lit is different. The story is about a twentysomething woman who gets dumped by her husband for an older women. So, the main character is left raising her young daughter by herself.The story is solely based on the interactions between our main character and her child - relative to the rest of the world.It works. Its funny and because the storyline is unusual for chick lit, there are lots of stories to tell. The writing is very well done and the book is kind of divided between the main characters. Also, cute little diary entries, written by Zoe, the 6 year old girl are wonderful and kind of insightful.I think the only thing I don't like is that the author portrays Zoe as extremely spoiled and VERY whiny. Kind of irritating, but does not remove from the great story.Buy it."
Lost Horizon,['James Hilton'],['Fiction'],"Originally published in 1933, Lost Horizon gained unrivaled popularity from coast to coast, particularly after Frank Capra's spellbinding 1937 film introduced audiences nationwide to its stunning tale of revolution, utopia, emotion, and adventure set in a hidden mountaintop escape known only as Shangri-La. When an uprising in Baskul forces a small group of English and American residents to flee, their plane crash-lands in the far western reaches of the Tibetan Himalayas. There, the bewildered party finds themselves stranded outside the protective borders of the British Empire, and discovers access to a place beyond the bounds of the imagination—a legendary paradise, the mystic monastery Shangri-La. New P.S. Edition featuring an essay by Kenneth C. Davis, author of Don't Know Much About® History and Two-Bit Culture: The Paperbacking of America.","No, I don't at all understand how anyone can assign even the first star to this putative literary work. I invested a goodly fifty pages without noting the first scintilla of action or intrigue, although I did suffer through reference after reference to 1920s practices and customs at Oxford--couched in impenetrable Edwardian slang. I had absolutely no idea what was going on, other than that I was bored witless."
Under the Frog: A Novel,['Tibor Fischer'],['Fiction'],"Follows two young Hungarian basketball players, Pataki and Gyuri, from the last years of World War II through the anti-Soviet uprising of 1956, as they search for food, lodging, and female companionship. Reprint.",Under the Frog is beautifully written. Fischer's dry wit achieves just the right balance between the dark and humourous themes of the novel. The story-telling is excellent! I've recommended the book to many of my friends and they all loved it.
